Label,Time1,Time2,Time3,Time4,Time5,Time6,TT,Swing12,Swing21,Swing13,Swing31,Swing14,Swing41,Swing15,Swing51,Swing16,Swing61,Swing23,Swing32,Swing24,Swing42,Swing25,Swing52,Swing26,Swing62,Swing34,Swing43,Swing35,Swing53,Swing36,Swing63,Swing45,Swing54,Swing46,Swing64,Swing56,Swing65
A,1939.2,1073.4,598.2,700.3,159.4,1458,8895,977.5,483.5,403.8,906.6,135.5,161.1,0,0,966.3,504.3,669.7,379,0,0,0,0,317.9,409.8,0,0,0,0,0,142.2,0,0,958.8,290.2,263.4,849
A,1894,1137.1,654.1,641.4,128.2,1432.6,8484.6,968.5,472.4,243.1000001,1356,186.7,186.4,0,0,877.8999999,463.9,981.4,260,0,0,0,0,353,236,0,0,0,0,0,136.8,0,0,1049.6,263.6,174.7,274.6
A,1845.5,1121.1,591.5,675.4000001,123.9,1076,8191,972.8,404.3,273.6,694.9,152.7,185.9,0,0,818,697.1,675.1,322.2,0,0,0,0,479.4,233,0,0,0,0,0,187.9,0,0,1248.4,294.1,174.6,281.2
E,1609.6,1016.1,681,632.5000001,139.9999999,1803.4,19574.2,1343.7,756.8000001,578.8,1087,477.3,0,0,0,1785.2,1988.5,1613.2,567.9,0,0,0,0,757.4,2241.8,0,0,0,0,0,142.4,0,0,4230.5,758.9,244.5,880.9
E,1435.4,1124.4,528.7,387.7,114.0000001,1491.7,15074.8,1221,754.8,520.6,860.3,842.7,383.8,0,0,1304.8,869.9000001,1391.9,534.6,0,0,0,0,988.5,1203.8,0,0,0,0,0,233.3,0,0,2782,482.9000001,176.3,523.6
E,1456.2,984.9,554.9,534.7,116.8,1240.3,19035.7,1434.6,686.6,610.1,860.6,994.8,456.4,0,0,1482,879.5000001,2181.8,962.6,0,0,0,0,440.3,1197.6,0,0,0,0,0,157.8,0,0,4021.9,618.6,198.1,1745.3
K,2646.3,1574.5,979.6,838.8,167.3,3450.9,43097.4,6100.7,1486.8,1969.3,1427.7,677.4,702.4,0,0,5103.4,4502.5,3723.8,1048.4,0,0,0,0,616.4,1666.8,0,0,0,0,0,608.7,0,0,6467,5816.5,210.8,844.6
K,2120.3,1768.7,1188.7,803.4,85397.3,2970.6,36130,1784.7,1200.3,1235.7,1705.9,1444.2,1823,0,0,2522.8,2115.9,3023.5,738.7,0,0,0,0,1019.6,1240.6,0,0,0,0,0,2351,0,3919.3,7444.2,239.1,415.9,1804.8
K,2108.4,1594.5,1081.5,583.2,299.8,2469.6,41482.4,1250.4,1280.1,1085.7,1347.5,1453.5,1692.6,0,0,6497.2,15134.1,2527.1,751.3,0,0,0,0,624.5,1179.9,0,0,0,0,0,311.8,0,0,2930.2,981.8,555.3,1803.2
T,1686.5,1484,792.4,552.9,144.1,3383.7,26836.2,1289.7,2490.3,299.3,1233.5,1116.1,205.3,0,0,2592.8,5085.4,3244.7,1220.5,0,0,0,0,505.2,604.4,0,0,0,0,0,216.4,0,0,3850.5,1084.3,687.9,1037.5
T,1981.3,1098.3,811.2,696.4,283.6,2404.3,20595,1484.1,429.1,308,1051.5,1253.2,91.19999999,0,0,1856.2,3640.9,1913.1,532.6,0,0,0,0,1180.1,655,0,0,0,0,0,177.2,0,0,1633.8,1849.4,1330.6,1084.9
T,2399.4,1486.8,1040.3,672.9,156.5,1967.4,21144.1,1664.6,1194.1,238,1226.7,853.1,163.7,0,0,1243.5,3070.1,2540.7,654.6,0,0,0,0,2833.8,853.9,0,0,0,0,0,220.2,0,0,2353.4,969.6,219.6,773.1
O,1946.4,1337.4,953.1,647.9,148.9,2650.8,27603.1,1591.4,700.2,880.6,1382.1,1240.1,0,0,0,3379,4429.1,1930.1,740.5,0,0,0,0,427.7,1263.6,0,0,0,0,0,281.4,0,0,6388.7,1448.7,389.1,1027.6
O,1685.7,1299.6,944.9,585.4,148.6,1835.6,17778.2,1305.7,740.8,640.4,1065.1,1588.5,1405.5,0,0,1126.3,1319.5,1569.1,404.4,0,0,0,0,365.1,804.5,0,0,0,0,0,199.5,0,0,3594.4,442.7,267.4,847.3
O,1828.4,1261.7,889.6,572.6,136.5,1649.3,20789.2,1169.6,562.9,1732.8,865.7,779.7,1062.6,0,0,993.4,1418.3,1667.4,463.5,0,0,0,0,451.6,1922.9,0,0,0,0,0,214.1,0,0,5543.5,715.7,312,812.9
B,1859.9,1347.9,740.2,620.3,219.4,1695.3,31567.2,1932.9,1461.8,993.7,1352.8,831.3,442.3,0,0,3621,1518.8,2685.9,594.3,0,0,0,0,602.1,2668.9,0,0,0,0,0,335.1,0,0,9928,783.8,287.1,1463.3
B,1756.7,1344.2,740.8,656.4,176.3,1849.8,25996.9,2523.5,1091.3,1051.1,1495.6,1255.7,432.6,0,0,3557,1168.1,2252.9,588.7,0,0,0,0,757.7,1704.7,0,0,0,0,0,616.6,0,0,5350.9,1004.9,303.9,841.7
B,1963.2,1221.5,960,761.4,340,2500.3,31306.8,2983.8,854.1,599.1,1592.2,651.1,387.6,0,0,2860.2,2801.6,1990.3,644.2,0,0,0,0,470.7,1246.5,0,0,0,0,0,265.4,0,0,11421.6,797.2,474.9,1182.2
